5, 1, 27.1, 23.0
5, 2, 31.5, 26.2
5, 3, 30.2, 28.8
5, 4, 25.3, 20.2
5, 5, 31.5, 26.2
5, 6, 30.2, 28.8
5, 7, 27.1, 23.0
5, 8, 25.3, 20.2
5, 9, 10.1, 23.0
5, 10, 30.2, 28.8
5, 11, 27.1, 23.0
5, 12, 31.5, 26.2
5, 13, 30.2, 28.8
5, 14, 25.2, 30.0
5, 15, 27.1, 23.0
5, 16, 30.2, 28.8
5, 17, 31.5, 26.2
5, 18, 25.3, 20.2
5, 19, 30.2, 28.8
5, 20, 31.5, 26.2
5, 21, 30.2, 28.8
5, 22, 27.1, 23.0
5, 23, 27.1, 23.0
5, 24, 31.5, 26.2
5, 25, 30.2, 28.8
5, 26, 31.5, 26.2
5, 27, 25.3, 20.2
5, 28, 30.2, 28.8
5, 29, 27.1, 23.0
5, 30, 31.5, 26.2
5, 31, 28.3, 30.2
